Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BPod Panel Due\Project Outputs for BPod Panel Due\Assembly Outputs\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       28/10/25
Time:       10:52
Revision:   54159a12e24615d6fe647be37016555d73f76274
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R20_44","R0603-100K","TopLayer","RES_CHIP_0603","339.5000","10.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_43","R0603-100K","TopLayer","RES_CHIP_0603","318.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_42","R0603-100K","TopLayer","RES_CHIP_0603","295.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_41","R0603-100K","TopLayer","RES_CHIP_0603","272.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_40","R0603-100K","TopLayer","RES_CHIP_0603","339.5000","34.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_39","R0603-100K","TopLayer","RES_CHIP_0603","318.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_38","R0603-100K","TopLayer","RES_CHIP_0603","295.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_37","R0603-100K","TopLayer","RES_CHIP_0603","272.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_36","R0603-100K","TopLayer","RES_CHIP_0603","203.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_35","R0603-100K","TopLayer","RES_CHIP_0603","180.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_34","R0603-100K","TopLayer","RES_CHIP_0603","157.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_33","R0603-100K","TopLayer","RES_CHIP_0603","134.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_32","R0603-100K","TopLayer","RES_CHIP_0603","203.5750","37.5000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_31","R0603-100K","TopLayer","RES_CHIP_0603","180.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_30","R0603-100K","TopLayer","RES_CHIP_0603","157.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_29","R0603-100K","TopLayer","RES_CHIP_0603","134.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_28","R0603-100K","TopLayer","RES_CHIP_0603","109.5000","10.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_27","R0603-100K","TopLayer","RES_CHIP_0603","88.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_26","R0603-100K","TopLayer","RES_CHIP_0603","65.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_25","R0603-100K","TopLayer","RES_CHIP_0603","42.4250","12.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_24","R0603-100K","TopLayer","RES_CHIP_0603","109.5000","34.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_23","R0603-100K","TopLayer","RES_CHIP_0603","88.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_22","R0603-100K","TopLayer","RES_CHIP_0603","65.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_21","R0603-100K","TopLayer","RES_CHIP_0603","42.4250","36.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_20","R0603-100K","TopLayer","RES_CHIP_0603","360.5250","72.1250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_19","R0603-100K","TopLayer","RES_CHIP_0603","341.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_18","R0603-100K","TopLayer","RES_CHIP_0603","318.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_17","R0603-100K","TopLayer","RES_CHIP_0603","295.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_16","R0603-100K","TopLayer","RES_CHIP_0603","362.5000","82.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_15","R0603-100K","TopLayer","RES_CHIP_0603","341.4250","84.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_14","R0603-100K","TopLayer","RES_CHIP_0603","318.4250","84.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_13","R0603-100K","TopLayer","RES_CHIP_0603","295.4250","84.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_12","R0603-100K","TopLayer","RES_CHIP_0603","248.1500","59.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_11","R0603-100K","TopLayer","RES_CHIP_0603","226.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_10","R0603-100K","TopLayer","RES_CHIP_0603","203.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_9","R0603-100K","TopLayer","RES_CHIP_0603","180.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_8","R0603-100K","TopLayer","RES_CHIP_0603","157.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_7","R0603-100K","TopLayer","RES_CHIP_0603","134.4250","60.0022","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_6","R0603-100K","TopLayer","RES_CHIP_0603","249.4250","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_5","R0603-100K","TopLayer","RES_CHIP_0603","226.4250","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_4","R0603-100K","TopLayer","RES_CHIP_0603","203.4250","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_3","R0603-100K","TopLayer","RES_CHIP_0603","180.4250","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_2","R0603-100K","TopLayer","RES_CHIP_0603","157.3900","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R20_1","R0603-100K","TopLayer","RES_CHIP_0603","134.4250","84.0000","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R41","R0603-910R","TopLayer","RES_CHIP_0603","416.3500","33.9000","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R44","R0603-110R","TopLayer","RES_CHIP_0603","417.1000","36.1500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R48","R0603-910R","TopLayer","RES_CHIP_0603","417.1000","31.6500","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R51","R0603-110R","TopLayer","RES_CHIP_0603","417.1000","30.1500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"U17","AD8606","TopLayer","VSSOP8_3X3_0.65E","413.3500","35.5500","180","Operational Amplifier, 2 Func, 750uV Offset-Max, CMOS, PDSO8"
"R54","R0603-15K","TopLayer","RES_CHIP_0603","410.3500","33.9000","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R53","R0603-100K","TopLayer","RES_CHIP_0603","411.1000","30.1500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R52","R0603-10K","TopLayer","RES_CHIP_0603","411.1000","31.6500","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R50","R0603-15K","TopLayer","RES_CHIP_0603","414.1000","31.6500","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R49","R0603-10K","TopLayer","RES_CHIP_0603","414.1000","30.1500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R47","R0603-15K","TopLayer","RES_CHIP_0603","410.3500","36.9000","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R46","R0603-100K","TopLayer","RES_CHIP_0603","414.1000","39.4500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R45","R0603-10K","TopLayer","RES_CHIP_0603","411.1000","39.4500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R43","R0603-15K","TopLayer","RES_CHIP_0603","416.3500","38.7000","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R42","R0603-10K","TopLayer","RES_CHIP_0603","417.8500","38.7000","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"C50","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","417.8500","33.9000","270","0603 Multilayer Ceramic Capacitors MLCC"
"CN15_3","PIN HEADER","TopLayer","PIN_2.54_2X6P","217.0000","14.0000","270","Straight Policy 2.5mm 6mm -40?~+105? 3mm 2.54mm Double Row Black Brass 2.54mm Plugin,P=2.54mm Pin Headers"
"U10_4","TXB0108","TopLayer","TSSOP20_6.5X4.4_0.65E","251.9500","30.4500","180","8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85"
"CN13_1","DIG IO","TopLayer","BNC-AMP-112515","125.0000","84.0000","0","RF BNC Connector, Female, Board Mount, Solder Terminal, Jack"
"RN5","RN0603-10R","TopLayer","RES_ARRAY_0603","270.8500","60.8750","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN4","RN0603-10R","TopLayer","RES_ARRAY_0603","249.9500","69.6500","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN3","RN0603-10R","TopLayer","RES_ARRAY_0603","253.7000","69.6500","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN2_4","RN0603-10R","TopLayer","RES_ARRAY_0603","250.0250","24.6000","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN2_3","RN0603-10R","TopLayer","RES_ARRAY_0603","203.9750","24.5000","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN2_2","RN0603-10R","TopLayer","RES_ARRAY_0603","20.1750","21.9750","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN2_1","RN0603-10R","TopLayer","RES_ARRAY_0603","370.6250","60.0000","90","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN1_4","RN0603-10R","TopLayer","RES_ARRAY_0603","253.7750","24.6000","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN1_3","RN0603-10R","TopLayer","RES_ARRAY_0603","207.7250","24.5000","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN1_2","RN0603-10R","TopLayer","RES_ARRAY_0603","23.9250","21.9750","270","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"RN1_1","RN0603-10R","TopLayer","RES_ARRAY_0603","366.8750","60.0000","90","Array/Network Resistor, Jumper, Metal Glaze/thick Film, 10ohm, 50V, 5% +/-Tol, -200,200ppm/Cel, Surface Mount, 1206"
"R33","VOLUME","TopLayer","VR_RK12L12C","401.0000","30.5000","0","Res POT 10K Ohm 20% 1(Elec)/1(Mech)Turns 6mm (13 X 28.5mm) Snap-In Panel Mount"
"U13","AD8397","TopLayer","SOIC8_AD8397","414.8750","12.0000","0","Op Amp Dual High Output Current Amplifier R-R O/P ±12.6V/25.2V 8-Pin SOIC N EP Tube"
"U16","SPX3819-5V","TopLayer","SOT23-5","392.2000","18.4000","0","500mA 70dB Fixed 3.3V Positive electrode 16V LDO"
"C32","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","413.7750","21.3250","180","0603 Multilayer Ceramic Capacitors MLCC"
"CN11","PIN HEADER","TopLayer","PIN_2.54_2X2P","377.9750","12.0000","270","Straight Policy 2.5mm 6mm -40?~+105? 3mm 2.54mm Double Row Black Brass 2.54mm Plugin,P=2.54mm Pin Headers"
